Anmeldte forbrydelser efter overtrædelsens art, område og tid;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
 ; ;2018K1;2018K2;2018K3;2018K4;2019K1;2019K2;2019K3;2019K4;2020K1;2020K2;2020K3;2020K4;2021K1;2021K2;2021K3;2021K4;2022K1;2022K2;2022K3;2022K4
Voldsforbrydelser i alt;;;;;;;;;;;;;;;;;;;;;
 ;Aarhus;479;445;432;393;402;393;427;426;407;375;379;372;337;349;375;397;365;432;383;388
 ;Herning;104;127;95;110;113;121;102;121;116;83;93;89;122;63;109;97;80;112;94;81
 ;Holstebro;46;91;56;58;60;49;62;73;66;58;64;74;44;81;71;59;57;83;76;73
 ;Ikast-Brande;42;41;49;43;45;54;60;44;53;46;52;53;55;41;30;36;27;52;31;38
 ;Lemvig;5;20;8;14;11;13;24;13;15;11;16;13;12;11;14;7;10;18;12;3
 ;Ringkøbing-Skjern;34;31;14;28;27;28;30;37;27;16;32;19;15;24;18;15;24;23;24;20
 ;Skive;34;45;38;35;56;44;52;46;38;41;18;33;26;35;55;39;48;50;59;43
 ;Struer;14;15;17;22;19;19;11;39;21;21;13;21;14;16;23;34;15;24;25;18
 ;Viborg;53;102;84;102;70;115;78;143;86;90;86;93;100;94;124;91;87;94;112;121
 ;Brønderslev;21;29;22;35;24;34;46;36;30;32;38;37;28;18;24;27;23;35;41;52
 ;Frederikshavn;53;43;64;41;37;88;58;31;54;46;58;42;23;39;64;46;38;58;83;44
 ;Hjørring;54;55;56;43;24;34;41;37;38;42;60;28;31;42;42;62;73;57;61;68
 ;Jammerbugt;34;40;44;32;31;36;30;26;13;21;29;34;16;26;20;31;44;30;30;19
 ;Læsø;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1
 ;Mariagerfjord;22;40;41;50;42;41;48;74;73;54;54;56;39;40;39;53;62;44;48;40
 ;Morsø;6;15;8;15;17;17;36;18;15;19;17;16;15;16;16;12;19;24;36;22
 ;Rebild;15;7;13;14;8;14;14;19;10;13;7;21;5;12;8;11;9;17;11;12
 ;Thisted;22;34;36;30;27;42;46;40;34;34;32;21;18;35;43;31;40;39;45;28
 ;Vesthimmerlands;31;46;24;28;24;23;36;41;37;46;33;41;32;40;40;21;29;29;28;38
 ;Aalborg;178;262;233;214;197;216;185;228;189;191;193;163;138;178;185;205;197;710;200;172
 ;Uoplyst kommune;146;140;244;117;111;112;101;138;150;175;162;215;172;181;145;175;194;189;304;220
;;;;;;;;;;;;;;;;;;;;;
Straffelovens bestemmelser vedr. seksualforbrydelser gennemgik ;;;;;;;;;;;;;;;;;;;;;
væsentlige ændringer med virkning fra 1. juli 2013. Ændringerne betød;;;;;;;;;;;;;;;;;;;;;
bl.a., at der nu er flere kategorier af seksualforbrydelser end ;;;;;;;;;;;;;;;;;;;;;
tidligere, der henføres under bestemmelserne om voldtægt (§216). Se;;;;;;;;;;;;;;;;;;;;;
mere herom i statistikdokumentationen, i afsnittet Sammenlignelighed: ;;;;;;;;;;;;;;;;;;;;;
http://www.dst.dk/statistikdokumentation/c1ac7749-1e15-4d3a-8ed0-fb2d-;;;;;;;;;;;;;;;;;;;;;
26a9fe93;;;;;;;;;;;;;;;;;;;;;
