"Anmeldt","Ejendomsforbrydelser i alt","Randers",5776,5850,5345,5171,5893,4740,3871,4408,4233,4065,4108
"Anmeldt","Ejendomsforbrydelser i alt","Samsø",129,103,96,90,82,63,91,67,70,59,68
"Anmeldt","Ejendomsforbrydelser i alt","Silkeborg",4879,4138,3804,3388,3133,3576,3457,2739,2701,2275,2559
"Anmeldt","Ejendomsforbrydelser i alt","Skanderborg",3376,3050,2941,2497,2416,2645,2050,1860,1387,1580,1554
"Anmeldt","Ejendomsforbrydelser i alt","Syddjurs",2099,2198,1943,1692,1583,1850,1381,1219,1287,1050,1091
"Anmeldt","Ejendomsforbrydelser i alt","Aarhus",32566,31585,29787,25937,24965,23230,22607,19241,18834,18216,20266
"Anmeldt","Ejendomsforbrydelser i alt","Herning",4387,3999,3451,3548,3627,3474,3740,3184,3127,2571,4488
"Anmeldt","Ejendomsforbrydelser i alt","Holstebro",2808,2523,2355,2254,2017,3050,2566,2289,1763,1999,1601
"Anmeldt","Ejendomsforbrydelser i alt","Ikast-Brande",2055,1658,1503,1200,1470,1611,1364,1270,1218,1135,1138
"Anmeldt","Ejendomsforbrydelser i alt","Lemvig",625,465,422,405,369,389,407,354,381,342,318
"Anmeldt","Ejendomsforbrydelser i alt","Ringkøbing-Skjern",2458,2292,2040,1761,1693,1923,1588,1241,1287,1168,1408
"Anmeldt","Ejendomsforbrydelser i alt","Skive",2099,2071,1763,1729,1516,1483,1428,1333,1288,1061,1528
"Anmeldt","Ejendomsforbrydelser i alt","Struer",843,778,756,678,663,643,558,765,583,539,551
"Anmeldt","Ejendomsforbrydelser i alt","Viborg",3932,3978,3831,3542,3480,3292,4562,2801,2719,2332,3765
"Anmeldt","Ejendomsforbrydelser i alt","Brønderslev",1466,1519,1410,1072,1109,1179,1149,891,763,820,839
"Anmeldt","Ejendomsforbrydelser i alt","Frederikshavn",3086,3065,2331,2733,2857,2931,3221,2113,1672,1416,1536
"Anmeldt","Ejendomsforbrydelser i alt","Hjørring",2742,2749,2360,2915,2886,3084,2129,2011,1463,1356,1736
"Anmeldt","Ejendomsforbrydelser i alt","Jammerbugt",2019,1786,1392,1462,1348,1222,1144,1040,941,942,801
"Anmeldt","Ejendomsforbrydelser i alt","Læsø",29,40,43,31,15,15,38,18,27,13,16
"Anmeldt","Ejendomsforbrydelser i alt","Mariagerfjord",2097,2092,2091,1716,1526,1330,1373,1197,1217,1135,1005
"Anmeldt","Ejendomsforbrydelser i alt","Morsø",941,942,951,687,782,841,592,597,574,399,505
"Anmeldt","Ejendomsforbrydelser i alt","Rebild",1292,1123,951,871,844,752,627,559,563,488,563
"Anmeldt","Ejendomsforbrydelser i alt","Thisted",2122,1749,1429,1308,1694,1254,1545,1102,902,845,1142
"Anmeldt","Ejendomsforbrydelser i alt","Vesthimmerlands",2007,2142,1774,1827,1476,1351,1119,1115,1087,1474,947
"Anmeldt","Ejendomsforbrydelser i alt","Aalborg",14492,14296,12706,11492,10083,10063,8841,8634,6921,6166,8074
"Anmeldt","Ejendomsforbrydelser i alt","Uoplyst kommune",4035,5010,6577,11253,14282,20042,20133,26416,30176,24244,23573
